iter	Passed	Remaining
1047	16055	14584
1048	16069	14568
1049	16084	14552
1050	16098	14536
1051	16114	14521
1052	16129	14506
1053	16144	14489
1054	16158	14473
1055	16172	14457
1056	16186	14440
1057	16203	14426
1058	16222	14415
1059	16236	14398
1060	16249	14381
1061	16263	14364
1062	16278	14348
1063	16292	14332
1064	16306	14315
1065	16319	14299
1066	16336	14284
1067	16350	14268
1068	16363	14251
1069	16377	14234
1070	16392	14218
1071	16405	14201
1072	16419	14185
1073	16434	14170
1074	16449	14154
1075	16464	14138
1076	16478	14122
1077	16494	14107
1078	16510	14092
1079	16525	14077
1080	16539	14061
1081	16553	14044
1082	16567	14027
1083	16580	14011
1084	16595	13994
1085	16610	13979
1086	16625	13964
1087	16639	13947
1088	16654	13932
1089	16667	13914
1090	16679	13897
1091	16692	13879
1092	16707	13864
1093	16723	13849
1094	16737	13833
1095	16751	13817
1096	16764	13800
1097	16779	13783
1098	16791	13766
1099	16806	13750
1100	16822	13735
1101	16836	13719
1102	16851	13703
1103	16864	13687
1104	16878	13671
1105	16892	13654
1106	16906	13638
1107	16921	13622
1108	16936	13607
1109	16951	13591
1110	16965	13575
1111	16979	13558
1112	16992	13542
1113	17007	13526
1114	17022	13511
1115	17038	13496
1116	17051	13479
1117	17067	13464
1118	17081	13448
1119	17096	13432
1120	17111	13417
1121	17127	13402
1122	17142	13387
1123	17155	13370
1124	17168	13353
1125	17183	13338
1126	17198	13322
1127	17215	13308
1128	17233	13295
1129	17248	13279
1130	17261	13263
1131	17276	13247
1132	17290	13231
1133	17304	13214
1134	17320	13200
1135	17336	13185
1136	17352	13170
1137	17364	13153
1138	17378	13136
1139	17392	13120
1140	17406	13104
1141	17422	13089
1142	17435	13072
1143	17450	13057
1144	17464	13041
1145	17479	13025
1146	17496	13011
1147	17513	12997
1148	17527	12981
1149	17542	12965
1150	17556	12950
1151	17570	12933
1152	17583	12917
1153	17600	12902
1154	17615	12887
1155	17630	12872
1156	17644	12855
1157	17658	12840
1158	17672	12823
1159	17686	12807
1160	17702	12792
1161	17718	12778
1162	17734	12763
1163	17749	12748
1164	17762	12731
1165	17775	12714
1166	17789	12697
1167	17804	12682
1168	17821	12668
1169	17837	12653
1170	17851	12637
1171	17864	12621
1172	17878	12604
1173	17892	12588
1174	17906	12572
1175	17923	12558
1176	17939	12543
1177	17953	12528
1178	17967	12511
1179	17980	12494
1180	17993	12477
1181	18008	12462
1182	18024	12447
1183	18038	12432
1184	18052	12415
1185	18067	12400
1186	18080	12383
1187	18093	12366
1188	18109	12352
1189	18125	12337
1190	18140	12322
1191	18154	12306
1192	18167	12289
1193	18181	12273
1194	18195	12257
1195	18211	12242
1196	18225	12226
1197	18239	12210
1198	18253	12194
1199	18265	12176
1200	18278	12160
1201	18292	12144
1202	18307	12128
1203	18323	12113
1204	18337	12098
1205	18350	12081
1206	18364	12065
1207	18377	12048
1208	18390	12032
1209	18404	12016
1210	18419	12000
1211	18433	11984
1212	18447	11968
1213	18460	11952
1214	18473	11935
1215	18487	11919
1216	18501	11903
1217	18518	11889
1218	18533	11874
1219	18548	11858
1220	18562	11843
1221	18575	11826
1222	18588	11809
1223	18603	11794
1224	18618	11778
1225	18630	11762
1226	18645	11746
1227	18659	11730
1228	18672	11713
1229	18685	11697
1230	18699	11681
1231	18714	11666
1232	18729	11651
1233	18744	11635
1234	18758	11619
1235	18772	11603
1236	18788	11589
1237	18804	11574
1238	18820	11559
1239	18834	11543
1240	18848	11528
1241	18863	11512
1242	18876	11496
1243	18893	11481
1244	18912	11468
1245	18926	11453
1246	18940	11437
1247	18953	11420
1248	18966	11404
1249	18980	11388
1250	18993	11372
1251	19011	11358
1252	19027	11343
1253	19041	11327
1254	19055	11311
1255	19068	11295
1256	19082	11279
1257	19096	11263
1258	19110	11247
1259	19126	11233
1260	19142	11218
1261	19155	11201
1262	19168	11185
1263	19183	11169
1264	19200	11156
1265	19213	11139
1266	19228	11124
1267	19241	11107
1268	19255	11091
1269	19266	11074
1270	19280	11058
1271	19295	11043
1272	19310	11028
1273	19323	11011
1274	19338	10996
1275	19349	10978
1276	19361	10961
1277	19374	10945
1278	19388	10929
1279	19406	10916
1280	19420	10900
1281	19433	10884
1282	19448	10868
1283	19463	10853
1284	19477	10837
1285	19490	10821
1286	19504	10805
1287	19520	10790
1288	19535	10775
1289	19548	10759
1290	19561	10743
1291	19573	10726
1292	19586	10709
1293	19599	10693
1294	19615	10678
1295	19633	10665
1296	19648	10649
1297	19660	10632
1298	19672	10615
1299	19684	10599
1300	19697	10583
1301	19712	10567
1302	19725	10551
1303	19738	10535
1304	19751	10519
1305	19764	10502
1306	19776	10485
1307	19789	10469
1308	19803	10453
1309	19817	10438
1310	19831	10422
1311	19844	10406
1312	19858	10390
1313	19871	10374
1314	19885	10358
1315	19901	10344
1316	19916	10328
1317	19929	10312
1318	19942	10296
1319	19956	10280
1320	19968	10263
1321	19979	10246
1322	19994	10231
1323	20009	10216
1324	20023	10200
1325	20035	10183
1326	20048	10167
1327	20062	10152
1328	20075	10136
1329	20088	10119
1330	20103	10104
1331	20116	10088
1332	20130	10072
1333	20143	10056
1334	20157	10041
1335	20171	10025
1336	20186	10010
1337	20200	9994
1338	20214	9978
1339	20227	9962
1340	20242	9947
1341	20255	9931
1342	20268	9915
1343	20284	9900
1344	20297	9884
1345	20310	9868
1346	20322	9852
1347	20333	9834
1348	20344	9817
1349	20358	9802
1350	20372	9786
1351	20385	9770
1352	20396	9753
1353	20408	9737
1354	20420	9720
1355	20435	9705
1356	20451	9690
1357	20465	9675
1358	20478	9659
1359	20491	9642
1360	20504	9626
1361	20515	9610
1362	20528	9593
1363	20542	9578
1364	20554	9562
1365	20567	9546
1366	20579	9529
1367	20592	9513
1368	20606	9497
1369	20618	9481
1370	20633	9466
1371	20648	9451
1372	20662	9435
1373	20674	9419
1374	20687	9403
1375	20699	9387
1376	20714	9371
1377	20729	9356
1378	20742	9340
1379	20754	9324
1380	20767	9308
1381	20780	9292
1382	20792	9276
1383	20806	9260
1384	20821	9245
1385	20835	9230
1386	20848	9214
1387	20861	9198
1388	20874	9182
1389	20885	9165
1390	20899	9150
1391	20915	9135
1392	20928	9119
1393	20941	9103
1394	20954	9087
1395	20966	9071
1396	20977	9054
1397	20991	9039
1398	21008	9025
1399	21023	9010
1400	21036	8994
1401	21049	8978
1402	21063	8962
1403	21076	8946
1404	21091	8932
1405	21106	8916
1406	21120	8901
1407	21132	8885
1408	21144	8869
1409	21156	8852
1410	21168	8836
1411	21182	8820
1412	21197	8805
1413	21211	8790
1414	21224	8774
1415	21237	8759
1416	21250	8743
1417	21263	8727
1418	21277	8712
1419	21293	8697
1420	21307	8682
1421	21320	8665
1422	21333	8650
1423	21344	8633
1424	21357	8618
1425	21371	8602
1426	21387	8587
1427	21400	8572
1428	21412	8556
1429	21427	8540
1430	21440	8525
1431	21451	8508
1432	21464	8493
1433	21478	8477
1434	21492	8462
1435	21505	8446
1436	21518	8430
1437	21531	8414
1438	21542	8398
1439	21554	8382
1440	21568	8366
1441	21582	8351
1442	21594	8335
1443	21608	8320
1444	21619	8303
1445	21632	8287
1446	21644	8272
1447	21659	8256
1448	21674	8241
1449	21685	8225
1450	21699	8210
1451	21712	8194
1452	21726	8179
1453	21739	8163
1454	21756	8149
1455	21770	8133
1456	21784	8118
1457	21797	8102
1458	21809	8087
1459	21822	8071
1460	21836	8055
1461	21852	8041
1462	21866	8026
1463	21879	8010
1464	21892	7994
1465	21903	7978
1466	21915	7962
1467	21932	7948
1468	21947	7933
1469	21959	7917
1470	21970	7901
1471	21982	7884
1472	21993	7868
1473	22007	7853
1474	22021	7838
1475	22036	7823
1476	22048	7807
1477	22059	7791
1478	22071	7774
1479	22083	7759
1480	22096	7743
1481	22111	7728
1482	22125	7713
1483	22146	7700
1484	22161	7685
1485	22176	7670
1486	22189	7655
1487	22201	7639
1488	22213	7623
1489	22228	7608
1490	22241	7592
1491	22254	7577
1492	22266	7561
1493	22280	7546
1494	22292	7530
1495	22305	7514
1496	22319	7499
1497	22330	7483
1498	22344	7468
1499	22356	7452
1500	22368	7436
1501	22383	7421
1502	22398	7406
1503	22413	7391
1504	22425	7375
1505	22437	7359
1506	22450	7344
1507	22463	7329
1508	22476	7313
1509	22489	7297
1510	22502	7282
1511	22514	7266
1512	22526	7250
1513	22538	7234
1514	22551	7219
1515	22566	7204
1516	22581	7189
1517	22593	7173
1518	22605	7158
1519	22618	7142
1520	22631	7127
1521	22644	7111
1522	22658	7096
1523	22671	7081
1524	22683	7065
1525	22696	7049
1526	22708	7034
1527	22722	7018
1528	22736	7003
1529	22750	6988
1530	22763	6973
1531	22777	6958
1532	22791	6943
1533	22803	6927
1534	22816	6911
1535	22830	6896
1536	22845	6881
1537	22858	6866
1538	22870	6850
1539	22883	6835
1540	22895	6819
1541	22908	6804
1542	22922	6789
1543	22936	6773
1544	22949	6758
1545	22961	6742
1546	22975	6727
1547	22987	6712
1548	23000	6696
1549	23015	6681
1550	23029	6666
1551	23041	6651
1552	23054	6635
1553	23069	6620
1554	23083	6606
1555	23098	6590
1556	23111	6575
1557	23126	6561
1558	23139	6545
1559	23152	6530
1560	23166	6515
1561	23178	6499
1562	23191	6484
1563	23206	6469
1564	23219	6454
1565	23231	6438
1566	23244	6422
1567	23257	6407
1568	23273	6393
1569	23288	6378
1570	23301	6362
1571	23313	6347
1572	23325	6331
1573	23338	6316
1574	23353	6301
1575	23368	6286
1576	23381	6271
1577	23394	6256
1578	23408	6241
1579	23423	6226
1580	23436	6211
1581	23451	6196
1582	23465	6181
1583	23477	6165
1584	23489	6150
1585	23503	6135
1586	23515	6119
1587	23528	6104
1588	23541	6089
1589	23554	6073
1590	23569	6059
1591	23581	6043
1592	23592	6027
1593	23606	6012
1594	23619	5997
1595	23633	5982
1596	23647	5967
1597	23660	5952
1598	23673	5936
1599	23688	5922
1600	23702	5907
1601	23716	5892
1602	23731	5877
1603	23746	5862
1604	23762	5848
1605	23776	5833
1606	23791	5818
1607	23807	5803
1608	23820	5788
1609	23836	5774
1610	23852	5759
1611	23865	5744
1612	23876	5728
1613	23887	5712
1614	23902	5698
1615	23914	5682
1616	23927	5667
1617	23941	5652
1618	23954	5637
1619	23966	5621
1620	23978	5606
1621	23992	5591
1622	24008	5576
1623	24023	5561
1624	24036	5546
1625	24048	5531
1626	24060	5516
1627	24075	5501
1628	24091	5486
1629	24106	5471
1630	24119	5456
1631	24132	5441
1632	24146	5426
1633	24158	5411
1634	24173	5396
1635	24188	5381
1636	24202	5366
1637	24215	5351
1638	24228	5336
1639	24241	5321
1640	24258	5306
1641	24274	5292
1642	24288	5277
1643	24302	5262
1644	24315	5247
1645	24328	5232
1646	24343	5217
1647	24358	5202
1648	24371	5187
1649	24385	5172
1650	24400	5157
1651	24414	5143
1652	24429	5128
1653	24443	5113
1654	24461	5099
1655	24478	5084
1656	24495	5070
1657	24508	5055
1658	24522	5040
1659	24535	5025
1660	24549	5010
1661	24564	4995
1662	24578	4980
1663	24593	4965
1664	24606	4950
1665	24618	4935
